Alpha,NASA SC(2)-0412 T1_Re33.677_M0.22_N9.0, , Alpha,NPL 9510 T1_Re33.677_M0.22_N9.0, , Alpha,RAE 2822 T1_Re33.677_M0.22_N9.0, , Alpha,RAE(NPL) 5212 T1_Re33.677_M0.22_N9.0, , 
          3.4,     0.7124895, ,           2.8,     0.6011047, ,           3.6,     0.6357696, ,           3.4,     0.6819003, , 
          3.5,     0.7247817, ,           2.9,     0.6132361, ,           3.7,     0.6473776, ,           3.5,     0.6934943, , 
          3.6,      0.737121, ,             3,     0.6253276, ,           3.8,     0.6590029, ,           3.6,     0.7050908, , 
          3.7,     0.7493855, ,           3.1,     0.6374005, ,           3.9,     0.6705982, ,           3.7,     0.7167177, , 
          3.8,     0.7616068, ,           3.2,     0.6494574, ,             4,     0.6821943, ,           3.8,     0.7283331, , 
          3.9,     0.7737676, ,           3.3,      0.661514, ,           4.1,     0.6937976, ,           3.9,     0.7399352, , 
            4,     0.7859443, ,           3.4,     0.6735845, ,           4.2,     0.7053711, ,             4,     0.7515224, , 
          4.1,     0.7981515, ,           3.5,     0.6856446, ,           4.3,     0.7169474, ,           4.1,     0.7630877, , 
          4.2,     0.8104242, ,           3.6,     0.6976915, ,           4.4,     0.7285281, ,           4.2,     0.7746196, , 
          4.3,     0.8227097, ,           3.7,     0.7097332, ,           4.5,     0.7400777, ,           4.3,     0.7861146, , 
          4.4,     0.8349457, ,           3.8,     0.7217967, ,           4.6,     0.7516487, ,           4.4,      0.797587, , 
          4.5,     0.8471195, ,           3.9,     0.7338655, ,           4.7,     0.7632012, ,           4.5,     0.8090598, , 
          4.6,     0.8592661, ,             4,     0.7459209, ,           4.8,     0.7747433, ,           4.6,      0.820538, , 
          4.7,     0.8713881, ,           4.1,     0.7579622, ,           4.9,      0.786294, ,           4.7,     0.8320469, , 
          4.8,     0.8835307, ,           4.2,     0.7700216, ,             5,      0.797812, ,           4.8,     0.8435609, , 
          4.9,     0.8956387, ,           4.3,     0.7821013, ,           5.1,     0.8093568, ,           4.9,     0.8550614, , 
            5,     0.9077559, ,           4.4,     0.7941802, ,           5.2,     0.8208571, ,             5,     0.8665448, , 
          5.1,     0.9198742, ,           4.5,     0.8062527, ,           5.3,     0.8323862, ,           5.1,      0.878007, , 
          5.2,      0.931957, ,           4.6,     0.8183262, ,           5.4,     0.8438722, ,           5.2,     0.8894251, , 
          5.3,     0.9440927, ,           4.7,     0.8304188, ,           5.5,     0.8553888, ,           5.3,     0.9008217, , 
          5.4,     0.9562403, ,           4.8,     0.8424816, ,           5.6,     0.8668649, ,           5.4,     0.9122376, , 
          5.5,     0.9683671, ,           4.9,     0.8545002, ,           5.7,     0.8783621, ,           5.5,     0.9236925, , 
          5.6,     0.9804968, ,             5,     0.8664911, ,           5.8,     0.8898363, ,           5.6,     0.9352057, , 
          5.7,     0.9926486, ,           5.1,     0.8785099, ,           5.9,     0.9013129, ,           5.7,     0.9466974, , 
          5.8,       1.00478, ,           5.2,     0.8905218, ,             6,     0.9127906, ,           5.8,     0.9581475, , 
          5.9,      1.016887, ,           5.3,     0.9025158, ,           6.1,      0.924226, ,           5.9,     0.9695237, , 
            6,      1.029023, ,           5.4,     0.9144906, ,           6.2,     0.9357033, ,             6,     0.9808366, , 
          6.1,      1.041152, ,           5.5,     0.9264628, ,           6.3,     0.9471297, ,           6.1,     0.9922158, , 
          6.2,      1.053249, ,           5.6,       0.93847, ,           6.4,     0.9585738, ,           6.2,      1.003668, , 
          6.3,       1.06532, ,           5.7,     0.9504642, ,           6.5,      0.970017, ,           6.3,      1.015075, , 
          6.4,      1.077429, ,           5.8,     0.9624425, ,           6.6,     0.9814094, ,           6.4,      1.026404, , 
          6.5,      1.089507, ,           5.9,     0.9744025, ,           6.7,     0.9928374, ,           6.5,      1.037639, , 
          6.6,      1.101543, ,             6,      0.986354, ,           6.8,      1.004247, ,           6.6,      1.048976, , 
          6.7,      1.113588, ,           6.1,     0.9983407, ,           6.9,      1.015607, ,           6.7,      1.060312, , 
          6.8,      1.125652, ,           6.2,       1.01034, ,             7,      1.027009, ,           6.8,      1.071526, , 
          6.9,      1.137687, ,           6.3,      1.022328, ,           7.1,      1.038398, ,           6.9,      1.082707, , 
            7,      1.149689, ,           6.4,        1.0343, ,           7.2,      1.049741, ,             7,      1.094039, , 
          7.1,      1.161692, ,           6.5,      1.046257, ,           7.3,      1.061083, ,           7.1,      1.105273, , 
          7.2,      1.173729, ,           6.6,      1.058207, ,           7.4,      1.072452, ,           7.2,      1.116388, , 
          7.3,      1.185743, ,           6.7,      1.070186, ,           7.5,      1.083774, ,           7.3,      1.127621, , 
          7.4,      1.197728, ,           6.8,      1.082201, ,           7.6,      1.095047, ,           7.4,      1.138863, , 
          7.5,      1.209688, ,           6.9,      1.094215, ,           7.7,      1.106393, ,           7.5,      1.149997, , 
          7.6,       1.22168, ,             7,      1.106227, ,           7.8,      1.117703, ,           7.6,      1.161076, , 
          7.7,      1.233682, ,           7.1,      1.118232, ,           7.9,      1.128964, ,           7.7,      1.172297, , 
          7.8,      1.245677, ,           7.2,      1.130223, ,             8,      1.140206, ,           7.8,      1.183497, , 
          7.9,      1.257649, ,           7.3,       1.14219, ,           8.1,      1.151502, ,           7.9,      1.194611, , 
            8,        1.2696, ,           7.4,      1.154134, ,           8.2,      1.162756, ,             8,      1.205642, , 
          8.1,       1.28156, ,           7.5,      1.166077, ,           8.3,      1.173956, ,           8.1,      1.216734, , 
          8.2,      1.293567, ,           7.6,       1.17804, ,           8.4,      1.185157, ,           8.2,      1.227906, , 
          8.3,      1.305558, ,           7.7,      1.189987, ,           8.5,      1.196403, ,           8.3,      1.239025, , 
          8.4,      1.317534, ,           7.8,      1.201921, ,           8.6,      1.207608, ,           8.4,      1.250079, , 
          8.5,      1.329496, ,           7.9,      1.213839, ,           8.7,      1.218763, ,           8.5,      1.261062, , 
          8.6,      1.341445, ,             8,       1.22574, ,           8.8,      1.229884, ,           8.6,      1.272007, , 
          8.7,      1.353391, ,           8.1,      1.237623, ,           8.9,      1.241085, ,           8.7,      1.283057, , 
          8.8,      1.365372, ,           8.2,      1.249489, ,             9,      1.252247, ,           8.8,      1.294118, , 
          8.9,      1.377359, ,           8.3,      1.261342, ,           9.1,      1.263361, ,           8.9,      1.305144, , 
            9,      1.389319, ,           8.4,      1.273184, ,           9.2,       1.27442, ,             9,      1.316091, , 
          9.1,      1.401248, ,           8.5,        1.2851, ,           9.3,      1.285489, ,           9.1,      1.326975, , 
          9.2,      1.413142, ,           8.6,      1.297011, ,           9.4,      1.296605, ,           9.2,      1.337987, , 
          9.3,      1.425004, ,           8.7,      1.308911, ,           9.5,      1.307677, ,           9.3,      1.348997, , 
          9.4,      1.436839, ,           8.8,      1.320799, ,           9.6,      1.318701, ,           9.4,      1.359886, , 
          9.5,      1.448656, ,           8.9,      1.332675, ,           9.7,      1.329673, ,           9.5,      1.370627, , 
          9.6,      1.460461, ,             9,      1.344537, ,           9.8,      1.340623, ,           9.6,      1.381533, , 
          9.7,      1.472318, ,           9.1,      1.356383, ,           9.9,       1.35166, ,           9.7,      1.392361, , 
          9.8,      1.484173, ,           9.2,      1.368212, ,            10,      1.362655, ,           9.8,      1.402944, , 
          9.9,       1.49601, ,           9.3,      1.380026, ,          10.1,      1.373607, ,           9.9,      1.413727, , 
           10,      1.507828, ,           9.4,      1.391827, ,          10.2,      1.384508, ,            10,      1.424217, , 
         10.1,      1.519625, ,           9.5,      1.403612, ,          10.3,      1.395357, ,          10.1,      1.434775, , 
         10.2,      1.531398, ,           9.6,      1.415382, ,          10.4,      1.406147, ,          10.2,      1.445023, , 
         10.3,      1.543144, ,           9.7,      1.427243, ,          10.5,      1.417055, ,          10.3,      1.455122, , 
         10.4,      1.554863, ,           9.8,      1.439102, ,          10.6,      1.427929, ,          10.4,       1.46508, , 
         10.5,      1.566557, ,           9.9,       1.45095, ,          10.7,      1.438756, ,          10.5,      1.474847, , 
         10.6,      1.578232, ,            10,      1.462788, ,          10.8,      1.449532, ,          10.6,      1.484332, , 
         10.7,      1.589891, ,          10.1,      1.474611, ,          10.9,      1.460251, ,          10.7,      1.493867, , 
         10.8,      1.601594, ,          10.2,      1.486418, ,            11,      1.470911, ,          10.8,      1.503416, , 
         10.9,      1.613322, ,          10.3,      1.498208, ,          11.1,      1.481506, ,          10.9,      1.513087, , 
           11,      1.625033, ,          10.4,      1.509982, ,          11.2,      1.492206, ,            11,      1.522928, , 
         11.1,      1.636725, ,          10.5,      1.521739, ,          11.3,      1.502898, ,          11.1,      1.532837, , 
         11.2,      1.648393, ,          10.6,      1.533481, ,          11.4,      1.513538, ,          11.2,       1.54268, , 
         11.3,      1.660038, ,          10.7,      1.545206, ,          11.5,      1.524124, ,          11.3,      1.552729, , 
         11.4,      1.671658, ,          10.8,      1.556914, ,          11.6,      1.534655, ,          11.4,      1.562567, , 
         11.5,      1.683251, ,          10.9,        1.5686, ,          11.7,      1.545123, ,          11.5,      1.572626, , 
         11.6,      1.694815, ,            11,      1.580262, ,          11.8,      1.555523, ,          11.6,      1.582545, , 
         11.7,      1.706348, ,          11.1,      1.591989, ,          11.9,      1.565847, ,          11.7,      1.592406, , 
         11.8,      1.717849, ,          11.2,      1.603766, ,            12,      1.576075, ,          11.8,      1.602424, , 
         11.9,       1.72932, ,          11.3,      1.615533, ,          12.1,      1.586487, ,          11.9,      1.612297, , 
           12,       1.74076, ,          11.4,      1.627276, ,          12.2,       1.59684, ,            12,      1.622027, , 
         12.1,      1.752166, ,          11.5,      1.638996, ,          12.3,      1.607127, ,          12.1,      1.631938, , 
         12.2,      1.763539, ,          11.6,      1.650674, ,          12.4,      1.617338, ,          12.2,      1.641743, , 
         12.3,      1.774967, ,          11.7,       1.66232, ,          12.5,      1.627471, ,          12.3,      1.651365, , 
         12.4,      1.786444, ,          11.8,      1.673936, ,          12.6,      1.637528, ,          12.4,      1.660949, , 
         12.5,      1.797895, ,          11.9,      1.685524, ,          12.7,      1.647498, ,          12.5,      1.670633, , 
         12.6,      1.809318, ,            12,      1.697083, ,          12.8,      1.657374, ,          12.6,      1.680144, , 
         12.7,      1.820714, ,          12.1,      1.708613, ,          12.9,      1.667144, ,          12.7,      1.689447, , 
         12.8,      1.832079, ,          12.2,      1.720111, ,            13,      1.676789, ,          12.8,      1.698869, , 
         12.9,      1.843408, ,          12.3,      1.731576, ,          13.1,      1.686451, ,          12.9,       1.70821, , 
           13,      1.854701, ,          12.4,      1.743006, ,          13.2,      1.696184, ,            13,      1.717335, , 
         13.1,      1.865954, ,          12.5,      1.754399, ,          13.3,      1.705821, ,          13.1,       1.72635, , 
         13.2,      1.877167, ,          12.6,       1.76575, ,          13.4,      1.715358, ,          13.2,      1.735359, , 
         13.3,      1.888337, ,          12.7,      1.777055, ,          13.5,      1.724789, ,          13.3,      1.743395, , 
         13.4,      1.899462, ,          12.8,      1.788307, ,          13.6,      1.734109, ,          13.4,      1.750581, , 
         13.5,       1.91054, ,          12.9,      1.799501, ,          13.7,      1.743301, ,          13.5,      1.757655, , 
         13.6,      1.921572, ,            13,      1.810834, ,          13.8,      1.752363, ,          13.6,      1.765009, , 
         13.7,      1.932553, ,          13.1,      1.822185, ,          13.9,      1.761284, ,          13.7,       1.77227, , 
         13.8,      1.943485, ,          13.2,      1.833501, ,            14,      1.770042, ,          13.8,      1.779463, , 
         13.9,      1.954362, ,          13.3,      1.844782, ,          14.1,      1.778613, ,          13.9,      1.786571, , 
           14,      1.965181, ,          13.4,      1.856027, ,          14.2,      1.786979, ,            14,       1.79373, , 
         14.1,      1.975939, ,          13.5,      1.867235, ,          14.3,      1.795113, ,          14.1,      1.801143, , 
